User;Genre;Conf;Storytelling;Rhythm;Movements;Public Involvment;Use of space;Human characterization;Human reproducibility;
none;3;1;3;3;3;3;3;4;3;
none;3;2;3;3;4;3;3;3;3;
NONE;2;0;2;2;2;3;2;2;4;
NONE;2;1;4;4;3;3;3;4;4;
NONE;2;2;3;3;3;3;3;3;4;
NONE;5;0;3;4;3;3;4;4;4;
NONE;5;1;2;2;3;3;2;2;2;
NONE;5;2;3;3;2;3;3;2;3;
none;2;0;2;3;1;2;3;1;5;
none;2;1;2;2;3;2;3;2;5;
none;2;2;1;1;2;2;2;1;4;
none;3;0;1;1;1;2;2;1;4;
none;3;1;1;2;2;2;2;2;4;
none;3;2;1;2;2;1;1;1;4;
NONE;4;0;2;1;2;2;2;5;5;
NONE;4;1;4;4;4;5;4;4;5;
NONE;4;2;2;2;1;2;3;5;5;
NONE;5;0;2;3;2;2;3;5;5;
NONE;5;1;3;4;4;4;4;5;5;
NONE;5;2;2;2;1;2;3;4;5;
None;2;0;1;2;3;2;3;3;3;
None;2;1;2;3;3;3;3;3;4;
None;2;2;4;4;3;4;3;4;4;
None;4;0;2;2;3;1;3;2;5;
None;4;1;2;3;3;1;3;3;5;
None;4;2;3;4;3;4;3;4;5;
NONE;3;0;4;4;4;4;4;4;4;
NONE;3;1;2;2;2;2;2;2;4;
NONE;3;2;1;1;1;1;1;1;4;
NONE;5;0;4;4;4;4;4;4;4;
NONE;5;1;2;2;3;2;2;2;4;
NONE;5;2;1;1;1;1;1;1;4;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
